clinical_question,bottom_line,link_name,,
In adults with Staphylococcus aureus bacteremia does the addition of rifampin to standard treatment reduce the incidence of disease recurrence treatment failure or death?,Staphylococcus aureus bacteremia (SAB) is a common life-threatening infection with an associated mortality of approximately 20%. Until ARREST was published in 2017 fewer than 1600 participants with SAB had been enrolled in randomized trials over the prior 50 years. A 2014 systematic review suggested a trend towards lower mortality and treatment failure with adjunctive rifampin but the evidence was weak.[1],/wiki/ARREST,,
In patients with multivessel coronary disease undergoing coronary artery bypass grafting (CABG) is bilateral internal mammary artery (BIMA) grafting superior to single IMA grafting with regard to overall mortality?,On the basis of multiple randomized trials including FREEDOM and BARI-2D coronary artery bypass grafting (CABG) has become the standard of care for patients with multivessel coronary artery disease (CAD) particularly in the presence of diabetes. Use of the left internal mammary artery (IMA) as a graft conduit is almost always part of the surgical revascularization plan particularly given evidence suggesting improved long-term patency as compared to vein grafts. [1],/wiki/ART,,
In patients with diabetes with no established atherosclerotic disease does the use of low-dose aspirin reduce vascular events compared to placebo? Does low-dose aspirin significantly increase the risk of bleeding?,'Although it is well-accepted that aspirin is beneficial in reducing recurrent vascular events in patients with known vascular disease the role of aspirin as primary prevention therapy (i.e. therapy designed to reduce vascular events among patients without established atherosclerotic disease) is unclear despite being the focus of multiple studies. The 2009 Antithrombotic Trialists'' Collaboration meta-analysis involving 95000 patients in six primary prevention trials showed that aspirin use was associated with a 12% relative reduction in serious vascular events but was also associated with a 50% relative increase in bleeding.[1] The prevailing interpretation of these findings was that any benefit seen with aspirin as primary prevention was likely largely if not completely counterbalanced by increased bleeding risk. As a result of these data the USPSTF guidelines for primary prevention provide a grade B recommendation for aspirin use to prevent vascular events in a very circumscribed group of patients (age 50-59 estimated 10-yr ASCVD risk > 10%) at particularly high risk for vascular events but at low risk for bleeding due to younger age.',/wiki/ASCEND_(Aspirin),,
Among patients with idiopathic pulmonary fibrosis does pirfenidone reduce the composite rate of FVC decline or death when compared to placebo?,Idiopathic pulmonary fibrosis (IPF) is a progressive disease with a median survival of 2-5 years for which few approved therapies exist.[1] Pirfenidone is an oral agent that reduces fibroblast proliferation and collagen deposition via regulation of TGFβ and TNFα and has been shown to be active in preclinical IPF models.[1][2] Pirfenidone was investigated as a potential therapy for the disease in three phase 3 studies including SP3 (2010)[3] and the two CAPACITY trials (2010)[4] which suggested that pirfenidone may reduce the FVC decline associated with IPF and prolong progression-free survival (PFS). Some of the data was conflicting from these earlier studies and thus the FDA required an additional phase 3 study.[5],/wiki/ASCEND_(IPF),,
Among patients with an unprovoked VTE who have completed anticoagulation therapy does aspirin reduce recurrent VTE?,The risk of recurrent VTE following completion of treatment for an unprovoked event is approximately 10% within the first year following the discontinuation of anticoagulation. Several studies including WARFASA (2012) AMPLIFY-EXT (2013) and ASPIRE have studied the benefits of continuation of aspirin or lower-dose anticoagulant in this setting.,/wiki/ASPIRE,,
Among healthy community-dwelling seniors does low-dose aspirin reduce death dementia or persistent physical disability when compared with placebo?,Trials like ISIS-2 (1988) solidified the role of aspirin in secondary prevention of CVD. The role of aspirin in primary prevention is less clear especially among low-risk elderly adults. In this population the bleeding risk from aspirin may outweigh the benefit from CVD risk reduction. As a reflection of the uncertain benefit of aspirin in seniors the 2016 USPSTF guidelines were unable to give a recommendation on the use of aspirin among adults age ≥70 years.[1],/wiki/ASPREE,,
Among patients with renal artery stenosis not clearly requiring revascularization how well does endovascular revascularization preserve renal function when compared to medical therapy alone?,Renal artery stenosis (RAS) often results in progressive renal dysfunction. No large trial had demonstrated efficacy of revascularization plus medical therapy to medical therapy alone in prevention of this outcome.,/wiki/ASTRAL,,
In patients with severe vasodilatory shock requiring high-dose catecholamines does angiotensin II result in improvement in mean arterial pressure (MAP) compared to placebo?,Shock is defined as any process resulting in insufficient blood pressure to provide adequate organ perfusion. The most common form of shock is vasodilatory shock commonly defined as shock in the setting of peripheral vasodilation and intact cardiac output. In addition to treating the underlying cause of vasodilatory shock catecholamine (e.g. dopamine norepinephrine epinephrine) and non-catecholamine (e.g. vasopressin) vasopressors are agents that combat vasodilatory shock by inducing peripheral vasoconstriction. However these agents are not uniformly effective in reversing vasodilatory shock and their use is associated with significant side effects including limb ischemia and cardiac arrhythmia. These difficulties are reflected in the fact that patients with vasodilatory shock requiring high-dose vasopressors have a mortality rate approaching 50% at 1 month. [1],/wiki/ATHOS-3,,
Among women with breast cancer how does 10 years of adjuvant tamoxifen compare to 5 years of tamoxifen in reducing breast cancer recurrence and mortality?,Two or five years of adjuvant tamoxifen had been the standard of care among women with estrogen receptor (ER)-positive breast cancer. Whether extension of therapy to 10 years or beyond results in improved efficacy and an acceptable side effect profile was and remains incompletely understood.,/wiki/ATLAS,,
In patients with recent ACS does the addition of rivaroxaban to standard dual antiplatelet therapy improve CV morbidity and mortality?,Two meta-analyses of RCTs investigating the addition of warfarin to aspirin among ACS patients suggested that combination therapy may reduce the risk of ischemic events.  However this was partially offset by an increased risk of bleeding compared to monotherapy.[1][2],/wiki/ATLAS_ACS-2,_TIMI_51,
